Change Component Footprint: Designator=C27 Old Footprint=C0603 New Footprint=C0402
Change Component Footprint: Designator=R7 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R8 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R9 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R10 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R11 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R13 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R14 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R15 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R16 Old Footprint=R0603 New Footprint=R0402
Change Component Footprint: Designator=R17 Old Footprint=R0603 New Footprint=R0402
